Stitely 2000, 4, 27, 8, 33
Tamsen 1990, 0, 43, 4, 50
Tan 2007, 27, 108, 21, 102
Tannirandom 1999, 6, 41, 7, 39
Tey 1995, 6, 19, 8, 21
Thiery 1984, 1, 81, 0, 40
Thomas 2000, 2, 27, 6, 25
Trofatter 1985, 8, 30, 9, 29
Ulmsten 1982, 0, 25, 0, 25
Ulmsten 1985, 10, 38, 6, 20
Valentine 1977, 11, 45, 7, 15
Van den Hove 2006, 3, 16, 4, 17
Wingerup 1978, 0, 10, 3, 10
Wiqvist 1986, 7, 75, 0, 25
Winyasirivaj 2002, 6, 61, 3, 59
Witter 1987, 30, 103, 27, 97
Witter 1992, 9, 42, 13, 39
Wong 2002, 8, 60, 10, 60
Yonekura 1985, 10, 25, 6, 25
Ziaei 2003, 2, 33, 5, 33
